Attendee First Name,Attendee Last Name,Primary,Attendee Comments,Invite Status,Payment Type,Payment Status,Fee Item Names,Fee Item Descriptions,Fee Prices,Fee Quantities,Fees Total,Attendee Company,Addr1,Addr2,City,State/Province,Postal Code,Phone,Fax,Email,First Name,Last Name,Title,Reg Date/Time (CST),Reg Date/Time (Local),Registration Comments,Online Registration,RegID,MemID,Member Status,Membership Type,Member Join Date,Primary Category,Primary Contact First Name,Primary Contact Last Name,Primary Contact Company,Primary Contact Addr1,Primary Contact Addr2,Primary Contact City,Primary Contact State/Province,Primary Contact PostalCode,Primary Contact Phone,Primary Contact Fax,Primary Contact Email,"Eligibility confirmation for Credit Card payments for Chambermaster training listing in registration -  text/ blurb  Eligibility for Skillnet discount -  I confirm that my employer is paying for this training and is a registered company in Ireland and NOT a government funded organisation or charity, OR I confirm I am paying as a Sole Trader registered in Ireland.  I confirm that if paying by credit card, I am using the companys credit card or Sole Trader business credit card.  ",Course Name & Start Date,Gender,Age Group,Please select your highest attainment level on the National Framework of Qualifications (NFQ),Duration of time unemployed before this training,County of Residence (eg Dublin/Cork/Limerick etc. Not ''Ireland''!),Your role within the Company,Company Address,How did you hear about this course?,Would you like to be contacted in the future about Limerick Chamber Skillnet Training Programmes?,What email address should we send our invoice to (e.g.accounts department)?,Does your company require a Purchase Order number from us? Yes/No?
JOE,BLOGGS,X,po 7085257.    You can send the invoices over to accounts.burlingtonroad@claytonhotels.com,Registered,No Charge,Paid,No Fee to Register - Invoice to follow,Limerick Chamber Skillnet will invoice your accounts department or relevant billing staff.  Note: Skillnet discount available to Republic of Ireland businesses only and not available to state or semi-state bodies,0,1,0,Clayton Hotel Burlington Road,,,,,,87123456,,JOEBLOGGS@gmail.com,JOE,BLOGGS,Senior Sous Chef,02/04/2024 08:55,02/04/2024 14:55,PO 7085257,Yes,8283,0,[NO MEMBER RECORD],,,,JOE,bloggs,Clayton Hotel Burlington Road,,,,,,87123456,,JOEBLOGGS@GMAIL.COM,I confirm all the above,"QQi L 5 Food Safety June 11th, 18th, 25th.",Male,40-49,NFQ 7 Ordinary Bachelor Degree,I am Employed / Self-Employed,Dublin,Managerial / Supervisor,"Upper Leeson Street, Dublin 4. D04 A318",My employer,"no, do not contact me",accounts.burlingtonroad@claytonhotels.com,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"County ""Ireland"" regularly answered here",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,DUPE,DUPE,X,X,X,X,X,X,X,X,X,X,X,DUPE,DUPE,DUPE,X,X,X,X,X,DUPE,X,DUPE,"This information re eligibility doesn't need to be ""inputted"" into Sonra’, but it acts as a ""Greenlight "" that this person can indeed avail of Skillnet funding at all.  If they don't confirm this , ideally it should be flagged for me so I can call them to ascertain whether they are eligible for Skillnet funding on this training or not.",,,,,,,,,X,X,X,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Details that are unnessecary for Sonrai are marked with ""X"" in row 5.    Duplicated info is marked with ""Dupe"" and can also be left out. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
